titulo_oferta,descripcion_raw,fuente
desarrollador de software,,computrabajo_ec
Ejecutivo Comercial,,computrabajo_ec
Desarrollador software,,computrabajo_ec
Desarrollador de Software,,computrabajo_ec
Ejecutivo Comercial de Software,,computrabajo_ec
Pasante de Desarrollo de Software,,computrabajo_ec
Asesor Comercial,,computrabajo_ec
"Asesor de equipos de tecnologia: PC, laptops, impresoras, ploters, software",,computrabajo_ec
Auxiliar contable,,computrabajo_ec
Arquitecto de acabados y coordinacion de proyectos,,computrabajo_ec
Analista de tienda,,computrabajo_ec
Asistente técnico de diseño y producción,,computrabajo_ec
B2B Sales Representative,,computrabajo_ec
Consultor(a) Freelance de Marca Personal y Posicionamiento B2B (Remoto),,computrabajo_ec
Agente call center,,computrabajo_ec
Filmmaker y Editor de Video Junior Quito,,computrabajo_ec
Asesor Comercial,,computrabajo_ec
Operational Support Agent (PCD),,computrabajo_ec
Analista Programador(a) – Desarrollo de Software Empresarial / San Isidro,,computrabajo_pe
Analista de Calidad de Software Tacna,,computrabajo_pe
Asistente de Desarrollo de Software –  San Borja,,computrabajo_pe
Software Analyst Lims / Cercado de Lima,,computrabajo_pe
Analista de sistemas/Software,,computrabajo_pe
Analista de Control de Calidad de Software,,computrabajo_pe
Analista de QA,,computrabajo_pe
Practicante de Desarrollo de Software (Remoto),,computrabajo_pe
Superintendente de aplicaciones de Software,,computrabajo_pe
"Practicante de Optimización de datos (Ing. Industrial, Ing. de Software,  Ing. de Sistemas)",,computrabajo_pe
Analista de Calidad de Software,,computrabajo_pe
Implementador de Soluciones ITSM,,computrabajo_pe
Docente Pregrado de Software y Tecnología en la Salud,,computrabajo_pe
Customer Service / Galaxy Consultant Samsung Móvil/ Soporte técnico Software,,computrabajo_pe
Ejecutivo Comercial / Venta de Software,,computrabajo_pe
Ejecutivo de Ventas de Software,,computrabajo_pe
Arquitecto software,,computrabajo_pe
Asistente Comercial,,computrabajo_pe
"Ejecutivo Comercial / Contac Center MANATEL OFERTA LABORAL: Ejecutivo Comercial. Ubicación: GUAYAQUIL (NORTE) Horario: JORNADA DE OFICINA TIEMPO COMPLETO O MEDIO TIEMPO Salario: SUELDO FIJO $482 Inicio: INMEDIATO DESCRIPCION DEL PUESTO: Buscamos personas dinámicas, con habilidades comunicativas y orientadas al cliente, para unirse a nuestro equipo... Tiempo Completo Guayaquil, Guayas • 22/05/2026 $482,00 / Mensual","Premium Ejecutivo Comercial / Contac Center MANATEL OFERTA LABORAL: Ejecutivo Comercial. Ubicación: GUAYAQUIL (NORTE) Horario: JORNADA DE OFICINA TIEMPO COMPLETO O MEDIO TIEMPO Salario: SUELDO FIJO $482 Inicio: INMEDIATO DESCRIPCION DEL PUESTO: Buscamos personas dinámicas, con habilidades comunicativas y orientadas al cliente, para unirse a nuestro equipo... Tiempo Completo Guayaquil, Guayas • 22/05/2026 $482,00 / Mensual",trabajosdiarios
