titulo_oferta,empresa,ciudad,salario_raw,fecha_raw,modalidad_raw,descripcion_raw,url_oferta,fuente,fecha_publicacion,salario_usd,categoria_rol,clave_deduplicacion,ciudad_limpia,provincia,pais,nombre_rol,modalidad,nombre_tecnologia,categoria_tecnologia,tipo_fuente,num_vacantes,experiencia_anios
desarrollador de software,VIQUA S.A.S.,"Quito, Pichincha","554,00 US$ (Mensual)",Hace  11  horas,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-de-software-en-quito-EB961D41EBF860A461373E686DCF3405#lc=ListOffers-Score4-0,computrabajo_ec,2026-07-03,554.0,Desarrollo de Software,"desarrollador de software|viqua s.a.s.|quito, pichincha|computrabajo_ec",Quito,Pichincha,Ecuador,Desarrollador De Software,No especificado,No especificado,No especificado,Scraping,1,
Ejecutivo Comercial,Abitmedia,"Quito, Pichincha",,18 de junio,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivo-comercial-software-y-servicios-digitales-en-quito-218A9674DA16964B61373E686DCF3405#lc=ListOffers-Score4-1,computrabajo_ec,2026-06-18,,Otros,"ejecutivo comercial|abitmedia|quito, pichincha|computrabajo_ec",Quito,Pichincha,Ecuador,Ejecutivo Comercial,No especificado,No especificado,No especificado,Scraping,1,
Desarrollador software,Fomat Medical Research s.a.,"4,2",,11 de junio,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-software-en-guayaquil-5ED0CCD01857983C61373E686DCF3405#lc=ListOffers-Score4-2,computrabajo_ec,2026-06-11,,Desarrollo de Software,"desarrollador software|fomat medical research s.a.|4,2|computrabajo_ec",4,2,Ecuador,Desarrollador Software,No especificado,No especificado,No especificado,Scraping,1,
Desarrollador de Software,MANAGEMENTGROUP ASESORIA Y ASISTENCIA EMPRESARIAL Y PROFESIONAL S.A.S.,"Quito, Pichincha","482,00 US$ (Mensual)",9 de junio,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-de-software-en-quito-AC66A2EF79A80A7861373E686DCF3405#lc=ListOffers-Score4-3,computrabajo_ec,2026-06-09,482.0,Desarrollo de Software,"desarrollador de software|managementgroup asesoria y asistencia empresarial y profesional s.a.s.|quito, pichincha|computrabajo_ec",Quito,Pichincha,Ecuador,Desarrollador De Software,No especificado,No especificado,No especificado,Scraping,1,
Ejecutivo Comercial de Software,Sermatick,"Quito, Pichincha","500,00 US$ (Mensual) + Comisiones",2 de junio,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivo-comercial-de-software-en-quito-9FBCC42582E9C1FE61373E686DCF3405#lc=ListOffers-Score4-4,computrabajo_ec,2026-06-02,500.0,Desarrollo de Software,"ejecutivo comercial de software|sermatick|quito, pichincha|computrabajo_ec",Quito,Pichincha,Ecuador,Ejecutivo Comercial De Software,No especificado,No especificado,No especificado,Scraping,1,
Pasante de Desarrollo de Software,Seaban S.A.,"4,4","394,00 US$ (Mensual)",Más de 30 días,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-pasante-de-desarrollo-de-software-estudiantes-o-egresados-en-guayaquil-8E488A6DF78E1E4261373E686DCF3405#lc=ListOffers-Score4-5,computrabajo_ec,2026-06-03,394.0,Desarrollo de Software,"pasante de desarrollo de software|seaban s.a.|4,4|computrabajo_ec",4,4,Ecuador,Pasante De Desarrollo De Software,No especificado,No especificado,No especificado,Scraping,1,
Asesor Comercial ERP / Vendedor de Software Contable,ECUADORBYTES,"Guayaquil, Guayas",,Más de 30 días,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-comercial-erp-vendedor-de-software-contable-ventas-de-erp-y-software-contable-en-guayaquil-9B6D63AC29995F7B61373E686DCF3405#lc=ListOffers-Score4-6,computrabajo_ec,2026-06-03,,Desarrollo de Software,"asesor comercial erp / vendedor de software contable|ecuadorbytes|guayaquil, guayas|computrabajo_ec",Guayaquil,Guayas,Ecuador,Asesor Comercial Erp / Vendedor De Software Contable,No especificado,No especificado,No especificado,Scraping,1,
Asesor Comercial,SIACISOLUTIONS S.A.,"Quito, Pichincha","500,00 US$ (Mensual) + Comisiones",Más de 30 días,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-comercial-comercializacion-de-software-en-quito-974A088B129A42B561373E686DCF3405#lc=ListOffers-Score4-7,computrabajo_ec,2026-06-03,500.0,Otros,"asesor comercial|siacisolutions s.a.|quito, pichincha|computrabajo_ec",Quito,Pichincha,Ecuador,Asesor Comercial,No especificado,No especificado,No especificado,Scraping,1,
"Asesor de equipos de tecnologia: PC, laptops, impresoras, ploters, software",Delivery Suministros & Suministros cía. ltda.,"Quito, Pichincha","482,00 US$ (Mensual)",Más de 30 días,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-equipos-de-tecnologia-pc-laptops-impresoras-ploters-software-en-quito-4C4D4C2258AEDF8761373E686DCF3405#lc=ListOffers-Score4-8,computrabajo_ec,2026-06-03,482.0,Desarrollo de Software,"asesor de equipos de tecnologia: pc, laptops, impresoras, ploters, software|delivery suministros & suministros cía. ltda.|quito, pichincha|computrabajo_ec",Quito,Pichincha,Ecuador,"Asesor De Equipos De Tecnologia: Pc, Laptops, Impresoras, Ploters, Software",No especificado,No especificado,No especificado,Scraping,1,
Auxiliar contable,Cooperativa de Ahorro y Credito del Emigrante Ecuatoriano y su Familia Ltda.,"Guayaquil, Guayas","394,00 US$ (Mensual) + Comisiones",Hace  14  horas,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-contable-en-guayaquil-870E8B332E71478A61373E686DCF3405#lc=ListOffers-Score3-9,computrabajo_ec,2026-07-03,394.0,Otros,"auxiliar contable|cooperativa de ahorro y credito del emigrante ecuatoriano y su familia ltda.|guayaquil, guayas|computrabajo_ec",Guayaquil,Guayas,Ecuador,Auxiliar Contable,No especificado,No especificado,No especificado,Scraping,1,
Ejecutiva Comercial B2B – Soluciones de Telecomunicaciones,TODOTEK,"Guayaquil, Guayas",,Hace  20  horas,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutiva-comercial-b2b-soluciones-de-telecomunicaciones-con-experiencia-en-ventas-b2b-en-guayaquil-A53A59337C8FAD1761373E686DCF3405#lc=ListOffers-Score3-10,computrabajo_ec,2026-07-03,,Otros,"ejecutiva comercial b2b – soluciones de telecomunicaciones|todotek|guayaquil, guayas|computrabajo_ec",Guayaquil,Guayas,Ecuador,Ejecutiva Comercial B2B – Soluciones De Telecomunicaciones,No especificado,No especificado,No especificado,Scraping,1,
